Date: Time, TimeSinceLoad(s), PPID, TimeStamp (Shimmer),Skin Conductance,Skin Resistance,PPG,HRV,Heart Rate,X (Shimmer),Y (Shimmer),Z (Shimmer),Gyro P (Shimmer),Gyro R (Shimmer),Gyro Y (Shimmer),Event
0:25/12/2019 16:59:07.273,2.941355, 4_Baseline, 436015.1671066, 2814, 1019.13818359375, 1443.9560546875, 656.25, 91.4285736083984, -5.01496124267578, -4.39497327804565, 7.47097539901733, 0.320610672235489, -2.22900772094727, 0.458015263080597,Starts - Go Pro
0:25/12/2019 16:59:07.303,2.971281, 4_Baseline, 436015.1884349, 2815, 1018.66497802734, 1454.21240234375, 656.25, 91.4285736083984, -5.0053858757019, -4.40215444564819, 7.51166963577271, -0.625954210758209, -1.72519087791443, 0.290076345205307,Starts - Go Pro
0:25/12/2019 16:59:07.303,2.971317, 4_Baseline, 436015.1904523, 2813, 1019.61181640625, 1460.80590820313, 656.25, 91.4285736083984, -5.04129266738892, -4.41891098022461, 7.49730682373047, 0.259541988372803, -1.87786257266998, -0.167938932776451,Starts - Go Pro
0:25/12/2019 16:59:07.303,2.97134, 4_Baseline, 436015.192477, 2814, 1019.13818359375, 1466.66662597656, 656.25, 91.4285736083984, -4.98384189605713, -4.46199893951416, 7.50209474563599, 0.137404575943947, -1.66412210464478, -0.167938932776451,Starts - Go Pro
0:25/12/2019 16:59:07.303,2.971364, 4_Baseline, 436015.1944283, 2813, 1019.61181640625, 1471.06225585938, 656.25, 91.4285736083984, -4.97905445098877, -4.4500298500061, 7.53321361541748, -0.0152671756222844, -1.11450386047363, 0.137404575943947,Starts - Go Pro
0:25/12/2019 16:59:07.328,2.996566, 4_Baseline, 436015.2173278, 2813, 1019.61181640625, 1466.66662597656, 656.25, 91.4285736083984, -4.99820470809937, -4.46199893951416, 7.51885080337524, 0.0305343512445688, -0.824427485466003, 0.0152671756222844,Starts - Go Pro
0:25/12/2019 16:59:07.328,2.996607, 4_Baseline, 436015.2192889, 2813, 1019.61181640625, 1459.34069824219, 656.25, 91.4285736083984, -5.01974868774414, -4.44763612747192, 7.49970054626465, 0.183206111192703, -0.549618303775787, 0.549618303775787,Starts - Go Pro
0:25/12/2019 16:59:07.328,2.996632, 4_Baseline, 436015.2195235, 2813, 1019.61181640625, 1451.28210449219, 656.25, 91.4285736083984, -5.03171730041504, -4.46199893951416, 7.51645708084106, 0.0763358771800995, -0.229007631540298, 0.458015263080597,Starts - Go Pro
0:25/12/2019 16:59:07.328,2.996655, 4_Baseline, 436015.2212952, 2812, 1020.08587646484, 1442.49084472656, 656.25, 91.4285736083984, -5.0436863899231, -4.48593664169312, 7.49491310119629, 0.152671754360199, -0.137404575943947, 0.7175572514534,Starts - Go Pro
0:25/12/2019 16:59:07.347,3.015304, 4_Baseline, 436015.2393059, 2812, 1020.08587646484, 1434.43225097656, 656.25, 91.4285736083984, -5.03171730041504, -4.45481729507446, 7.47336912155151, 0.47328245639801, -0.137404575943947, 0.702290058135986,Starts - Go Pro
0:25/12/2019 16:59:07.347,3.015475, 4_Baseline, 436015.239468, 2813, 1019.61181640625, 1427.8388671875, 656.25, 91.4285736083984, -5.01496124267578, -4.49311780929565, 7.4566125869751, 0.80916029214859, 0.137404575943947, 0.793893158435822,Starts - Go Pro
0:25/12/2019 16:59:07.347,3.015532, 4_Baseline, 436015.2396223, 2812, 1020.08587646484, 1416.84985351563, 656.25, 91.4285736083984, -5.01735496520996, -4.46439266204834, 7.44703769683838, 0.870229005813599, 0.274809151887894, 0.992366433143616,Starts - Go Pro
0:25/12/2019 16:59:07.374,3.042042, 4_Baseline, 436015.2631316, 2811, 1020.56042480469, 1408.05859375, 656.25, 91.4285736083984, -5.01496124267578, -4.46199893951416, 7.42309999465942, 0.824427485466003, 0.549618303775787, 1.32824432849884,Starts - Go Pro
0:25/12/2019 16:59:07.374,3.042091, 4_Baseline, 436015.2649044, 2812, 1020.08587646484, 1398.53479003906, 656.25, 91.4285736083984, -4.99341726303101, -4.46678638458252, 7.46379423141479, 0.870229005813599, 0.488549619913101, 0.839694678783417,Starts - Go Pro
0:25/12/2019 16:59:07.395,3.064099, 4_Baseline, 436015.2886844, 2811, 1020.56042480469, 1390.47619628906, 656.25, 91.4285736083984, -5.0125675201416, -4.45960521697998, 7.42070627212524, 0.870229005813599, 0.961832046508789, 0.961832046508789,Starts - Go Pro
0:25/12/2019 16:59:07.395,3.064131, 4_Baseline, 436015.2888658, 2811, 1020.56042480469, 1382.41760253906, 656.25, 91.4285736083984, -5.03650522232056, -4.47157382965088, 7.45900678634644, 0.47328245639801, 0.900763332843781, 1.6946564912796,Starts - Go Pro
0:25/12/2019 16:59:07.407,3.075911, 4_Baseline, 436015.2908695, 2813, 1019.61181640625, 1376.55676269531, 656.25, 91.4285736083984, -5.06523036956787, -4.44763612747192, 7.44703769683838, 0.610687017440796, 0.931297719478607, 1.25190842151642,Starts - Go Pro
0:25/12/2019 16:59:07.429,3.097442, 4_Baseline, 436015.3146271, 2810, 1021.03540039063, 1369.23071289063, 656.25, 91.4285736083984, -5.08438062667847, -4.45242357254028, 7.4446439743042, 0.458015263080597, 0.396946579217911, 1.14503812789917,Starts - Go Pro
