timestamp,TIMESTAMP,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_P,GYRO_R,GYRO_Y,GSR_RES,GSR_CON,PPG_RAW,HEART_RATE,HRV,TEMP
20645.33015,1421895.125,-4.584081173,8.057450294,-0.959904253,-1.221374035,-1.648854971,-2.015267134,284.1151123,3024,1211.721558,54.46808624,1101.5625,0
20645.33131,1421902.875,-4.560143471,8.088569641,-0.931178927,-1.328244328,-1.145038128,-1.648854971,283.8731689,3026,1213.919434,54.46808624,1101.5625,0
20645.34888,1421910.75,-4.591262817,8.102931976,-0.880909622,-0.885496199,-1.328244328,-1.95419848,284.1151123,3024,1213.186768,54.46808624,1101.5625,0
20645.35,1421918.5,-4.643925667,8.088569641,-0.85697186,-1.053435087,-0.717557251,-2.335877895,284.1151123,3024,1208.79126,54.46808624,1101.5625,0
20645.35517,1421926.375,-4.588869095,8.033513069,-0.871334553,-0.717557251,-0.183206111,-2.213740349,284.2362671,3023,1204.39563,54.46808624,1101.5625,0
20645.36903,1421934.125,-4.58168745,8.06223774,-0.888090968,-0.53435117,-0.366412222,-1.129770994,283.9940796,3025,1202.197754,54.46808624,1101.5625,0
20645.37007,1421942,-4.596050262,8.059844017,-0.89048475,-0.305343509,-0.458015263,-0.732824445,284.1151123,3024,1200,54.46808624,1101.5625,0
20645.38187,1421949.75,-4.579293728,8.138838768,-0.940754056,-0.519083977,-0.229007632,-1.312977076,284.2362671,3023,1200,54.46808624,1101.5625,0
20645.38895,1421957.625,-4.59365654,8.095750809,-0.959904253,-0.152671754,-0.213740453,-1.51145041,284.1151123,3024,1200.732544,54.46808624,1101.5625,0
20645.39599,1421965.375,-4.576900005,8.031119347,-0.983842015,-0.305343509,-0.519083977,-1.007633567,284.1151123,3024,1200,54.46808624,1101.5625,0
20645.41091,1421973.25,-4.555356026,8.021544456,-0.9670856,-1.297709942,-0.412213743,-0.717557251,284.1151123,3024,1199.267456,54.46808624,1101.5625,0
20645.41897,1421981,-4.574506283,8.004787445,-0.952722907,-1.11450386,-0.48854962,-0.931297719,284.3574829,3022,1197.802246,54.46808624,1101.5625,0
20645.42404,1421988.875,-4.562537193,8.035906792,-0.969479382,-1.06870234,-0.015267176,-0.824427485,284.3574829,3022,1200.732544,54.46808624,1101.5625,0
20645.42567,1421996.625,-4.536205769,8.086175919,-0.959904253,-1.038167953,-0.335877866,-1.145038128,284.2362671,3023,1206.593384,54.46808624,1101.5625,0
20645.45046,1422004.5,-4.495511532,8.110114098,-0.998204648,-0.763358772,-0.702290058,-0.290076345,284.3574829,3022,1213.919434,54.46808624,1101.5625,0
20645.45252,1422012.25,-4.557749748,8.090963364,-0.957510471,-1.099236608,-1.129770994,-0.473282456,284.3574829,3022,1216.849854,54.46808624,1101.5625,0
20645.45434,1422020.125,-4.586475372,8.090963364,-0.919210076,-1.145038128,-1.083969474,-1.129770994,284.4788208,3021,1217.582397,54.46808624,1101.5625,0
20645.46885,1422027.875,-4.562537193,8.138838768,-0.91202873,-0.854961812,-0.900763333,-1.847328186,284.3574829,3022,1220.512817,54.46808624,1101.5625,0
20645.47039,1422035.75,-4.550568581,8.162776947,-0.950329125,-0.809160292,-0.778625965,-1.450381637,284.4788208,3021,1220.512817,54.46808624,1101.5625,0
20645.47157,1422043.5,-4.552962303,8.1316576,-0.950329125,-0.458015263,-1.358778596,-1.129770994,284.3574829,3022,1221.245361,54.46808624,1101.5625,0
20645.47985,1422051.375,-4.574506283,8.177139282,-0.957510471,-0.167938933,-1.129770994,-1.725190878,284.6002808,3020,1222.710571,54.46808624,1101.5625,0
20645.49073,1422059.125,-4.560143471,8.155595779,-0.940754056,-0.19847329,-1.007633567,-2.351145029,284.4788208,3021,1226.373657,54.46808624,1101.5625,0
20645.51747,1422067,-4.57211256,8.040694237,-0.957510471,-0.900763333,-0.549618304,-1.862595439,284.6002808,3020,1224.908447,54.46808624,1101.5625,0
20645.51806,1422074.75,-4.557749748,8.043087959,-0.979054451,-0.854961812,0.045801528,-1.740458012,284.6002808,3020,1221.978027,54.46808624,1101.5625,0
20645.52641,1422082.625,-4.543387413,7.997606277,-0.9670856,-0.900763333,-0.061068702,-2.244274855,284.6002808,3020,1220.512817,54.46808624,1101.5625,0
